"","#wt","#mut","pvalue","p_adj"
"MCL1",23,0,1.42370983002849e-07,0.000523703149682309
"PIM3",23,0,2.45579556024111e-07,0.000523703149682309
"MAGEB3",23,0,2.49614765412964e-07,0.000523703149682309
"BCHE",18,5,3.20014145849257e-07,0.000523703149682309
"TNFRSF19",23,0,4.62889144681178e-07,0.000606014468216598
"GPSM1",21,2,8.20407442647664e-07,0.000895064519928601
"CLEC1A",22,1,1.71639790780276e-06,0.00143866442674029
"ERCC6L2",23,0,1.75822111425639e-06,0.00143866442674029
"NIM1",20,3,2.53568712038632e-06,0.00184428976556098
"MADD",21,2,5.62327806141738e-06,0.00360704111659192
"WDR35",22,1,6.06132787694946e-06,0.00360704111659192
"FH",22,1,1.09044404749126e-05,0.00594837227906482
"CHRM1",23,0,1.330706150382e-05,0.0066093575121956
"ADK",22,1,1.41355033869139e-05,0.0066093575121956
"KCNK7",23,0,1.8857750090473e-05,0.00822952213948242
"UGT8",23,0,2.10442297315927e-05,0.00828951053637726
"EP300",17,6,2.15279069841756e-05,0.00828951053637726
"ARHGAP22",22,1,2.34980680517971e-05,0.00854546408150355
"RBMS2",22,1,2.61305029236603e-05,0.00900264590201475
"CNR2",23,0,3.33448338963871e-05,0.0107677943326543
"SMYD1",22,1,3.4543794834363e-05,0.0107677943326543
"GPR173",23,0,4.43754724942513e-05,0.0130167720052638
"ATOH1",23,0,4.6055440290127e-05,0.0130167720052638
"LY6E",22,1,4.77241870037171e-05,0.0130167720052638
"HSPA8",23,0,5.37294924928267e-05,0.0135347199278499
"TPCN2",22,1,5.37584353993426e-05,0.0135347199278499
"LRP1B",16,7,6.02067012864804e-05,0.0145967802452334
"STK38",23,0,6.50455760653479e-05,0.014701711120939
"RAB12",23,0,6.5587883074425e-05,0.014701711120939
"LOC100507203",23,0,6.7377227868648e-05,0.014701711120939
"HK3",23,0,7.27831437747906e-05,0.0153689825532187
"SH2D1A",23,0,7.56446205188999e-05,0.0154740526848975
"MAP2K3",23,0,8.22069598132025e-05,0.0163068714829462
"ZFYVE1",23,0,0.000111806346718701,0.0209548646327465
"TMEM14C",21,2,0.000113260863671694,0.0209548646327465
"TMEM141",23,0,0.000120628841739245,0.0209548646327465
"PALB2",22,1,0.00012088793310272,0.0209548646327465
"HSH2D",23,0,0.000121644493743411,0.0209548646327465
"SETD6",22,1,0.000129770179579158,0.0217814255262864
"SHC3",22,1,0.000136621262733838,0.0223580696463926
"SLC24A6",23,0,0.00015336964854018,0.024486773642537
"TNFRSF12A",22,1,0.000161035063659276,0.0250984649217529
"TAOK3",22,1,0.000169586620890172,0.0258166051243504
"AURKAPS1",23,0,0.000179617980153535,0.02672225677466
"PKMYT1",22,1,0.000206305143466423,0.0290173833855113
"PAPL",18,5,0.000206536116033385,0.0290173833855113
"PLK2",23,0,0.000208343571512226,0.0290173833855113
"CDC20",23,0,0.000215096360120071,0.0293337661113747
"ARHGEF15",23,0,0.000224603114110877,0.0300051425504041
"CDCP1",23,0,0.000235979387921414,0.0308944214666715
"FOXO1",23,0,0.00024444593015549,0.0313753540940752
"FOXP3",23,0,0.000252653282316606,0.0318051612700866
"DDIT4L",23,0,0.000264223751936354,0.031826444685016
