"","#wt","#mut","pvalue","p_adj"
"MUC12",5,1,2.52323135108146e-06,0.0165170724241792
"SMYD2",6,0,6.64807617906105e-05,0.217591533340668
"GPSM1",6,0,0.000163744122395615,0.236333717375461
"MED12",6,0,0.000180721125621619,0.236333717375461
"FRY",5,1,0.000195006228409955,0.236333717375461
"MCHR1",6,0,0.00024396324201581,0.236333717375461
"MED13L",6,0,0.000287007389321525,0.236333717375461
"EZH2",5,1,0.000288828252215656,0.236333717375461
"CX3CR1",6,0,0.000383440032467153,0.256468839863443
"MED13",5,1,0.00040882590466762,0.256468839863443
"RSF1",6,0,0.000466502163206317,0.256468839863443
"CXCL12",5,1,0.000504920357685346,0.256468839863443
"APMAP",6,0,0.000509333168075887,0.256468839863443
"MTAP",5,1,0.000554743321150686,0.259382127160885
"UCK2",5,1,0.000686235928648693,0.268071950464567
"ARHGEF33",6,0,0.000694649303446648,0.268071950464567
"LAMP3",6,0,0.000715996465233681,0.268071950464567
"NAV2",6,0,0.000737136435741248,0.268071950464567
"FOXR1",5,1,0.000917346797327467,0.290034899259561
"G6PD",6,0,0.000997405801281048,0.290034899259561
"MYSM1",6,0,0.00100564443889239,0.290034899259561
"ABCB8",6,0,0.00101345017809373,0.290034899259561
"IQGAP1",5,1,0.0010190654877742,0.290034899259561
"NAT8B",6,0,0.00124239810249471,0.338589901607417
"TNS1",6,0,0.00129311755884287,0.338589901607417
"TBL1Y",6,0,0.00147638233802438,0.371707645565677
"C17orf80",6,0,0.0016748384554256,0.395310221568034
"NPFFR1",6,0,0.00171162053441365,0.395310221568034
"SEPT6",6,0,0.00179901753742873,0.395310221568034
"TCL1A",6,0,0.00181168754155836,0.395310221568034
"ADCY7",6,0,0.00189092494185072,0.399290150624349
"LRIG2",6,0,0.0024775571467992,0.47877467714709
"SLC12A7",5,1,0.00248555207059775,0.47877467714709
"CPEB4",5,1,0.00248676123174474,0.47877467714709
"PRKAG3",6,0,0.0025664799907904,0.480005086277542
