"","#wt","#mut","pvalue","p_adj"
"STARD9",8,2,2.88162998457191e-06,0.0188602682490231
"VTCN1",10,0,7.05808842875629e-06,0.023097594383105
"RAP1B",10,0,3.21616300935442e-05,0.0355074532701892
"CACNB4",9,1,4.13367847298476e-05,0.0355074532701892
"AGAP4",10,0,5.4251265500671e-05,0.0355074532701892
"AGAP9",10,0,5.4251265500671e-05,0.0355074532701892
"AGAP7",10,0,5.4251265500671e-05,0.0355074532701892
"AGAP10",10,0,5.4251265500671e-05,0.0355074532701892
"AGAP8",10,0,5.4251265500671e-05,0.0355074532701892
"AGAP5",10,0,5.4251265500671e-05,0.0355074532701892
"CDC20",10,0,7.00716478623732e-05,0.0416926304781121
"DLG1",10,0,0.000135695197445933,0.074010422273636
"MBOAT1",10,0,0.000241203988001147,0.101404116340197
"MATK",10,0,0.000259790401535708,0.101404116340197
"DHX35",9,1,0.000282789555539512,0.101404116340197
"PTTG1IP",10,0,0.000289194198492685,0.101404116340197
"DDX50",10,0,0.000298586494936429,0.101404116340197
"MICB",10,0,0.000299934114964996,0.101404116340197
"CITED1",10,0,0.000306294888582999,0.101404116340197
"TSFM",10,0,0.000309867429610991,0.101404116340197
"DDX6",9,1,0.000449034785852259,0.139949174923954
"TNFRSF10A",9,1,0.00065010663459868,0.188895093465385
"AGAP6",10,0,0.000711024166940503,0.188895093465385
"ORC1",10,0,0.000714177193584997,0.188895093465385
"PPEF1",10,0,0.000766334435776204,0.188895093465385
"SIGLEC1",10,0,0.000771782822532532,0.188895093465385
"UBA3",9,1,0.000849416941932752,0.188895093465385
"ONECUT3",10,0,0.000869499929346931,0.188895093465385
"GABRR1",9,1,0.000879444053509582,0.188895093465385
"RNF20",10,0,0.000882890768748073,0.188895093465385
"GFI1",10,0,0.000896166212552554,0.188895093465385
"FAM8A1",10,0,0.000923551259112655,0.188895093465385
"GNG5",10,0,0.00103049400046692,0.204381310092606
"SLC47A2",7,3,0.00115349358724899,0.222047515545431
"RAX",10,0,0.00122615498811441,0.22758902661091
"PPP3R1",10,0,0.00125182657876131,0.22758902661091
"EREG",10,0,0.00139526936620644,0.241085162457066
"TRAIP",8,2,0.0014311994322042,0.241085162457066
"CLTA",10,0,0.00143656552113454,0.241085162457066
"IDH3G",9,1,0.00151252979890612,0.244528549116548
"CNST",8,2,0.00153180603724652,0.244528549116548
"BARHL2",10,0,0.00165851967441877,0.244592693441475
"ANKRD33B",8,2,0.00172062006011462,0.244592693441475
"SLC6A19",8,2,0.00173475515746007,0.244592693441475
"DDX5",10,0,0.00174938127423578,0.244592693441475
"ATP1A3",10,0,0.00176763565849058,0.244592693441475
"COL9A1",9,1,0.00178638345827459,0.244592693441475
"GSTA2",10,0,0.00180409573198794,0.244592693441475
"BCAM",10,0,0.00183117524501639,0.244592693441475
"DHX40",9,1,0.00192318017512382,0.251744284923708
"CRABP1",10,0,0.0019868559087131,0.254776008372791
"GPR15",10,0,0.00202419441335143,0.254776008372791
"EDC4",9,1,0.00220809915946633,0.267561272339408
"MPPED2",9,1,0.00221371596124662,0.267561272339408
"SERPINA6",10,0,0.0022841895758975,0.267561272339408
"APTX",10,0,0.00236362256951818,0.267561272339408
"OGT",10,0,0.00236709981393864,0.267561272339408
"WHSC1",10,0,0.00239859599737509,0.267561272339408
"ADTRP",10,0,0.0024504660116658,0.267561272339408
"TNKS",9,1,0.00251003189453396,0.267561272339408
"KCNIP4",8,2,0.00252771318470575,0.267561272339408
"BPTF",9,1,0.00255504401774328,0.267561272339408
"PDHA2",8,2,0.00264687469656506,0.267561272339408
"CXCL6",10,0,0.00265242790870144,0.267561272339408
"FOXR2",10,0,0.00268253990820913,0.267561272339408
"TSC22D3",10,0,0.0026980968639268,0.267561272339408
"SPG7",9,1,0.002778726253439,0.271444228787437
"CACNA1D",10,0,0.00289346916132002,0.278496406777052
"RPS6KL1",10,0,0.00324001636928105,0.307331987491949
"TNFRSF21",10,0,0.003513665988418,0.328527769917083
"LYL1",10,0,0.00360888337360018,0.329978775014887
"CASP8AP2",9,1,0.00371037979371561,0.329978775014887
"TMPRSS3",10,0,0.00373620077374995,0.329978775014887
"GABRE",9,1,0.00374122180253103,0.329978775014887
"ARHGAP18",10,0,0.00382286651669799,0.329978775014887
"GPR139",9,1,0.0038316863103333,0.329978775014887
"DDX53",10,0,0.00396427115647442,0.336963048300326
"FRAS1",9,1,0.00403828467286473,0.338853502357688
"NEIL3",9,1,0.00411203707888629,0.340674464320389
